prompt,completion
"company: Human Capital -- description: A venture firm for builders. -- title: Co-Founder, President & Managing Partner\n -- summary:","Co-founded Human Capital, a venture firm for builders XXX"
"company: Athelas -- description: Led team to build integrated digital tools for modern healthcare organizations. Remote diagnostics, billing, automations, & more. (YC 16, Sequoia & General Catalyst backed) -- title: Lead Engineer (Growth)\n -- summary:","Leads growth engineering at Athelas, a healthcare company XXX"
"company: Superhuman -- description: The fastest email experience in the world | Series C | Investors: IVP, a16z, Tiger, First Round | superhuman.com -- title: Co-Founder\n -- summary:","Co-founded Superhuman, the fastest email experience XXX"
"company: Loom -- description: Zone of genius. -- title: Co-Founder, CTO\n -- summary:",Co-founded Loom. Is now the CTO. XXX
company: Airtable -- description: None -- title: Software Engineer\n -- summary:,Software engineer at Airtable XXX
company: Notion -- description: We're hiring! notion.so/careers -- title: Head Of Corporate Development\n -- summary:,Heads corporate development at Notion XXX
company: GitHub -- description: GitHub Docs -- title: Product Designer\n -- summary:,Product designer on Github Docs at Github XXX
"company: Stripe -- description: Cost Modeling is a critical team at Stripe, processing millions in payment volume and generating cost estimates for internal/external customers with a suite of ML models.\n- Built and optimized infrastructure and ML models for estimating Affirm network costs using gRPC and Apache Spark/Airflow; now in production\n- Designed and developed a new testing tool for credit card (interchange) fee estimations; onboarded entire cost tech ops team onto new product for next cost cycle and expected to decrease incidents -- title: Software Engineer Intern\n -- summary:","Software engineer building ML models built with Spark, Airflow, and gRPC XXX"
"company: Bring IT -- description: BringIT is an end to end business and technology firm that is helping customers to design, implement, optimize and scale their system architecture and business processes to gain a competitive advantage\n\nBring IT is a proud Oracle NetSuite, Dell Boomi, Celigo, Zendesk and Shopify strategic partner.\n\nWe deploy a best in class system architecture enabling extended and seamlessly integrated global networks of suppliers and partners that perform at its maximum potential because the supply chain information is available to them near real-time everywhere. -- title: Co Founder and CEO\n -- summary:","Co-founded BringIT, an end-to-end business and technology firm XXX"
"company: ApplyBoard -- description: ApplyBoard is an online platform that empowers students around the world to access the best education by connecting international students, recruitment partners, and academic institutions on its platform. Founded in 2015, the company is headquartered in Kitchener, ON, Canada, with over 1500 staff members spanning 25 countries. They have built partnerships with over 1,500 primary, secondary, and post-secondary institutions, and works with 10,000+ Recruitment Partners, to drive highly qualified applicants and diversity to campuses across Canada, the United States, Australia and the United Kingdom. To date, the company has assisted more than 300,000 students with their educational journey. For more information, visit www.applyboard.com. -- title: Co-Founder & Chief Marketing Officer\n -- summary:","Chief Marketing Officer at ApplyBoard, an online platform for empowering education XXX"
company: IRI -- description: None -- title: Retail Gateways Intern\n -- summary:,Retail intern at IRI XXX
"company: Golden Wok -- description: Golden Wok starts and invests in early-stage companies and helps them grow. \n\nGolden Wok was founded by Walter Chen, founder of Animalz, Superpath, Sacra and I Done This.\n\ngoldenwok.com -- title: General Manager\n -- summary:","General manager at Golden Wok, which invests in early stage companies XXX"
company: Arc Technologies -- description: None -- title: Co-Founder & CTO\n -- summary:,Co-founded and leads technology at Arc XXX
company: Material Security -- description: Material protects email accounts even after they are compromised or harmful messages get through.\n\nhttps://material.security -- title: Founder & CTO\n -- summary:,"Founder and CTO of Material Security, an email security company XXX"
company: Carta -- description: None -- title: Customer Success Manager\n -- summary:,Customer Success Manager at Carta XXX
company: Envoy -- description: None -- title: Customer Success Manager\n -- summary:,Customer Success Manager at Envoy XXX
company: OpenAI -- description: None -- title: Head of Sales\n -- summary:,Leads sales and growth at OpenAI XXX
company: Clipboard Health -- description: None -- title: Head Of Sales\n -- summary:,Heads sales and growth at Clipboard Health XXX
"company: Retool -- description: Retool is the fast way to build totally custom internal tools. Deploy on-prem, connect your data no matter where it is, and extend your apps using JavaScript. Retool is the low-code application platform built for developers.\n\nJoin us! https://retool.com/careers/ -- title: Head of Sales\n -- summary:",Heads the team that sells Retool's on-prem to enterprises XXX
"company: ACP Composites, Inc -- description: None -- title: Director of Marketing\n -- summary:",Directors marketing at ACP XXX
company: Boeing -- description: None -- title: System Engineer\n -- summary:,System engineer at Boeing XXX
company: Netflix -- description: None -- title: Product Manager\n -- summary:,Product manager at Netflix XXX
